artist;link_lyrics;title;level;style;link_ytb;
Regglyss;;Vive les gestes;Débutant;Reggae;https://www.youtube.com/watch?v=s4m6Ko5WuY0;
Regglyss;;Le comptoir;Débutant;Reggae;https://www.youtube.com/watch?v=iXtCcXRpP6g;
Garou;https://www.paroles-musique.com/paroles-Garou-Seul-lyrics,p1577;Seul;Débutant;Variet’;https://www.youtube.com/watch?v=t8Cg4L6P-eI;
Garou;https://www.paroles-musique.com/paroles-Garou-Sous_Le_Vent_En_duo-lyrics,p1582;Sous le vent;Débutant;Variet’;https://www.youtube.com/watch?v=WFwqcs52X00;
Christophe Maé;https://www.paroles-musique.com/paroles-Christophe_Mae-Tombe_Sous_Le_Charme-lyrics,p146484;Tombé sous le charme;Débutant;Variet’;https://www.youtube.com/watch?v=yRGiYUEFFww;
Christophe Maé;https://www.paroles-musique.com/paroles-Christophe_Mae-On_Sattache-lyrics,p20166;On s’attache;Débutant;Variet’;https://www.youtube.com/watch?v=rjsG_WGzgTA;
Coeur de Pirate;https://www.paroles-musique.com/paroles-Coeur_De_Pirate-Adieu-lyrics,p117789;Adieu;Débutant;Variet’;https://www.youtube.com/watch?v=TgM885vDr74;
Coeur de Pirate;https://www.paroles-musique.com/paroles-Renaud-Mistral_Gagnant-lyrics,p4011; Mistral gagnant;Intermédiaire;Variet’;https://www.youtube.com/watch?v=iRGGTaAhexc;
Louane;https://www.paroles-musique.com/paroles-Louane-Rester_Seule-lyrics,p187875;Rester seule;Débutant;Variet’;https://www.youtube.com/watch?v=ARngmEX25LE;
Louane;https://www.paroles-musique.com/paroles-Louane-Maman-lyrics,p185028;Maman;Débutant;Variet’;https://www.youtube.com/watch?v=oC_ffV--tcE;
Nuttea;https://www.paroles-musique.com/paroles-Nuttea-Trop_Peu_De_Temps-lyrics,p67501;Trop peu de temps;Intermédiaire;Rap;https://www.youtube.com/watch?v=xLN5kx1EOEk;
Nuttea;https://www.paroles-musique.com/paroles-Nuttea-Elle_Te_Rend_Dindue-lyrics,p103077;Elle te rend dingue;Intermédiaire;Rap;https://www.youtube.com/watch?v=WANpkVm3V2Y;
Ben L’oncle Soul ;https://www.paroles-musique.com/paroles-Ben_LOncle_Soul-Soulman-lyrics,p84445;Soulman;Débutant;Rap;https://www.youtube.com/watch?v=69ptYXvUo7M;
Ben L’oncle Soul ;https://www.paroles-musique.com/paroles-Ben_LOncle_Soul-Etre_un_homme_comme_vous-lyrics,p019072701;Etre Un Homme Comme Vous;Débutant;Rap;https://www.youtube.com/watch?v=ckC0Gz73h2s;
Julien Doré;https://www.paroles-musique.com/paroles-Julien_Dore-Paris-Seychelles-lyrics,p172421;Paris - Seychelle ;Débutant;Pop/Rock;https://www.youtube.com/watch?v=cmE_aahc448;
Julien Doré;https://www.paroles-musique.com/paroles-Julien_Dore-Coco_Caline-lyrics,p063312073;Coco caline;Débutant;Pop/Rock;https://www.youtube.com/watch?v=Zqn41lMIGg8;
Mc Solaar ;https://www.paroles-musique.com/paroles-Mc_Solaar-RMI-lyrics,p8711;RMI;Expert;Rap;https://www.youtube.com/watch?v=0E76VlShWHQ;
Mc Solaar ;https://www.paroles-musique.com/paroles-Mc_Solaar-Solaar_Pleure-lyrics,p8726;Solaar Pleure;Expert;Rap;https://www.youtube.com/watch?v=VK5EAkdUyhk;
Fonky Family;https://www.paroles-musique.com/paroles-Fonky_Family-Aux_absents-lyrics,p01677044;Aux absents;Expert;Rap;https://www.youtube.com/watch?v=7wJYv3xNqYQ;
Fonky Family;https://www.paroles-musique.com/paroles-Fonky_Family-Mystere_and_Suspense-lyrics,p01677100;Mystère et suspense;Expert;Rap;https://www.youtube.com/watch?v=oFw6NexZnRc;
iam;https://www.paroles-musique.com/paroles-IAM-Petit_Frere-lyrics,p21684;Petit frère;Expert;Rap;https://www.youtube.com/watch?v=INuD2D7R8bk;
iam;https://www.paroles-musique.com/paroles-IAM-Nes_Sous_La_Meme_Etoile-lyrics,p21682;Nés sous la même étoile;Expert;Rap;https://www.youtube.com/watch?v=rn_UjJN3YQU;
Suprême NTM;https://www.paroles-musique.com/paroles-NTM-Laisse_Pas_Trainer_Ton_Fils-lyrics,p37599;Laisse pas traîner ton fils;Expert;Rap;https://www.youtube.com/watch?v=biYdUZXfz9I;
Suprême NTM;https://www.paroles-musique.com/paroles-NTM-Thats_my_people-lyrics,p019127073;That’s my people;Expert;Rap;https://www.youtube.com/watch?v=zKFqbyDR6M4;
Akhenaton;https://www.paroles-musique.com/paroles-Akhenaton-Je_Ne_Suis_Pas_a_Plaindre-lyrics,p50873;Je ne suis pas à plaindre ;Expert;Rap;https://www.youtube.com/watch?v=Ml2uxr-fE4Y;
Akhenaton;https://www.paroles-musique.com/paroles-Akhenaton-Le_Calme_Comme_Essence-lyrics,p2662;Le calme comme essence;Expert;Rap;https://www.youtube.com/watch?v=hk31XngRv2U;
Shurik-n;https://www.paroles-musique.com/paroles-Shurikn-Samourai-lyrics,p40474;Samourai ;Expert;Rap;https://www.youtube.com/watch?v=QMBTDuvl6dQ;
Shurik-n;https://www.paroles-musique.com/paroles-Shurikn-Ou_Je_Vis-lyrics,p013790620;Où je vis;Expert;Rap;https://www.youtube.com/watch?v=bw5y2SUHsfc;
Oxmo Puccino;https://www.paroles-musique.com/paroles-Oxmo_Puccino-Lenfant_Seul-lyrics,p25653;L’enfant seul;Expert;Rap;https://www.youtube.com/watch?v=pGHVs6mL6d8;
Oxmo Puccino;https://www.paroles-musique.com/paroles-Oxmo_Puccino-Toucher_Lhorizon-lyrics,p25660;Toucher l’horizon;Expert;Rap;https://www.youtube.com/watch?v=A5eGfJQAG7I;
Assassin;https://www.paroles-musique.com/paroles-Assassin-Ecrire_Contre_Loubli-lyrics,p11982;Ecrire contre l’oubli;Expert;Rap;https://www.youtube.com/watch?v=lF3i0tuWCm8;
Assassin;https://www.paroles-musique.com/paroles-Assassin-Lobjet-lyrics,p12323;L’objet;Expert;Rap;https://www.youtube.com/watch?v=bTp95TLKHwo;
Arsenik;https://www.paroles-musique.com/paroles-Arsenik-Un_Monde_Parfait_feat_Janik-lyrics,p11819;Un monde parfait;Expert;Rap;https://www.youtube.com/watch?v=8AFc_99FBF4;
Arsenik;https://www.paroles-musique.com/paroles-Arsenik-Jour_2_Tonnerre-lyrics,p11810;Jour de tonnerre;Expert;Rap;https://www.youtube.com/watch?v=FgAp15Tnnqk;
France Gall ;https://www.paroles-musique.com/paroles-France_Gall-Ella_Elle_La-lyrics,p12864;Ella, elle l’a ;Débutant;Variet’;https://www.youtube.com/watch?v=Ydp5qlQR89U;
France Gall ;https://www.paroles-musique.com/paroles-France_Gall-Resiste-lyrics,p13010;Résiste;Débutant;Variet’;https://www.youtube.com/watch?v=I5mlAZkibgw;
Renaud;https://www.paroles-musique.com/paroles-Renaud-Des_Que_Le_Vent_Soufflera-lyrics,p6477;Dès que le vent soufflera ;Expert;Pop/Rock;https://www.youtube.com/watch?v=YbrjsjEaOVg;
Renaud;https://www.paroles-musique.com/paroles-Renaud-Manhattan-Kaboul-lyrics,p0375307;Manhattan Kaboul;Expert;Pop/Rock;https://www.youtube.com/watch?v=0qeV8PDBH8E;
Zazie;https://www.paroles-musique.com/paroles-Zazie-A_Ma_Place_avec_Axel_Bauer-lyrics,p6297;A Ma Place;Intermédiaire;Pop/Rock;https://www.youtube.com/watch?v=vOznRtE4fOg;
Zazie;https://www.paroles-musique.com/paroles-Zazie-Je_Suis_Un_Homme-lyrics,p23564;Je suis un homme;Intermédiaire;Pop/Rock;https://www.youtube.com/watch?v=oSIoP7h4B_M;
Michel Berger;https://www.paroles-musique.com/paroles-Michel_Berger-Chanter_Pour_Ceux_Qui_Sont_Loin_De_Chez_Eux_-_Remasterise-lyrics,p052837112;Chanter pour ceux qui sont loin de chez eux;Débutant;Variet’;https://www.youtube.com/watch?v=VbyKJ3xm1Sg;
Michel Berger;https://www.paroles-musique.com/paroles-Michel_Berger-La_Groupie_Du_Pianiste-lyrics,p7669;La groupie du pianiste;Intermédiaire;Variet’;https://www.youtube.com/watch?v=gQFVpPdMFoI;
Serge Gainsbourg;https://www.paroles-musique.com/paroles-Serge_Gainsbourg-Comme_Un_Boomerang-lyrics,p109532;comme un boomerang;Intermédiaire;Pop/Rock;https://www.youtube.com/watch?v=pfpAxYSQVdQ;
Serge Gainsbourg;https://www.paroles-musique.com/paroles-Serge_Gainsbourg-Bonnie_And_Clyde-lyrics,p12455;Bonnie and clyde;Intermédiaire;Pop/Rock;https://www.youtube.com/watch?v=v66HiF91gjQ;
Charles Aznavour;https://www.paroles-musique.com/paroles-Charles_Aznavour-La_Boheme-lyrics,p13407;La bohème;Intermédiaire;Variet’;https://www.youtube.com/watch?v=fVfnEyLOkrM;
Charles Aznavour;https://www.paroles-musique.com/paroles-Charles_Aznavour-Desormais-lyrics,p13115;Désormais;Intermédiaire;Variet’;https://www.youtube.com/watch?v=aMIJPtFLDCo;
Claude Nougaro;https://www.paroles-musique.com/paroles-Claude_Nougaro-ARMSTRONG-lyrics,p65873;Armstrong;Débutant;Jazz;https://www.youtube.com/watch?v=K2mNK6qtRT0;
Claude Nougaro;https://www.paroles-musique.com/paroles-Claude_Nougaro-Nougayork-lyrics,p22613;Nougayork;Débutant;Jazz;https://www.youtube.com/watch?v=337V5SR1h8Q;
Natasha Saint Pierre;https://www.paroles-musique.com/paroles-Natasha_St_Pier-Tu_Trouveras-lyrics,p20092;Tu trouveras;Débutant;Variet’;https://www.youtube.com/watch?v=Y5A6bOzQLdE;
Claude François;https://www.paroles-musique.com/paroles-Claude_Francois-Alexandrie_Alexandra-lyrics,p11584;Alexandrie Alexandra;Intermédiaire;Variet’;https://www.youtube.com/watch?v=oqGKs2gyTqI;
Claude François;https://www.paroles-musique.com/paroles-Claude_Francois-Cette_Annee-La-lyrics,p95463;Cette année là;Intermédiaire;Variet’;https://www.youtube.com/watch?v=1fmjqRSFvIA;
Frero de la vega;https://www.paroles-musique.com/paroles-Frero_Delavega-Le_Chant_Des_Sirenes-lyrics,p179502;La chant des sirènes;Intermédiaire;Variet’;https://www.youtube.com/watch?v=NHhmDhzqzcA;
Johnny Hallyday;https://www.paroles-musique.com/paroles-Johnny_Hallyday-Sang_Pour_Sang-lyrics,p42;Sang pour sang;Débutant;Pop/Rock;https://www.youtube.com/watch?v=k6P0k0JmLEU;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
